time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
2140;-5088;2224;14928;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;4;1;3;25
2141;-5392;2256;14960;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;3;26
2142;-5104;2272;14736;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;27
2143;-5040;2256;14960;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;3;25
2144;-5072;2176;14720;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;3;25
2145;-5072;2240;14960;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;4;1;3;25
2146;-5024;2272;14944;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;4;1;3;24
2147;-5024;2224;14768;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;4;1;3;22
2148;-5088;2256;14752;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;4;2;3;20
2149;-5088;2256;14752;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;4;2;3;21
2150;-5248;2224;14800;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;4;1;3;21
2151;-5088;2416;15104;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;4;1;3;21
2152;-5056;2240;14816;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;3;21
2153;-5056;2592;14736;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;2;25
2154;-5088;2224;14752;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;2;808
2155;-5392;2192;14880;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;980;123;29;1858
2156;-5040;2288;14944;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2813;780;375;3609
2157;-5104;2624;14736;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;19630;5641;2385;4387
2158;-5504;2224;14560;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;19772;5718;2597;4576
2159;-5120;2416;14768;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;27165;7559;4106;5014
2160;-5088;2256;14768;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;27783;7667;4190;4505
2161;-5184;2352;14944;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;29346;8181;4371;3681
2162;-4864;2160;14720;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;29523;8287;4467;3401
2163;-5136;2096;14880;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;28584;8289;4601;3392
2164;-5008;2096;14880;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;26779;7716;4440;2631
2165;-5040;1984;14896;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;9963;2884;2441;1798
2166;-5040;2384;14960;13;0;13;0;0;0;0;0;16;0;8;0;0;0;0;95;142;9823;2808;2230;1144
2167;-5088;2400;14752;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2430;967;722;700
2168;-5104;2368;14944;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1812;859;637;421
2169;-5408;2656;14784;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;248;345;456;260
2170;-5120;2272;14960;13;0;13;0;0;0;0;0;16;0;0;0;0;0;0;95;142;74;241;377;162
2171;-5408;2208;14736;13;0;13;0;0;0;0;0;20;0;8;0;0;0;2;95;142;36;116;216;102
2172;-5392;2272;14928;13;0;13;0;0;0;0;0;16;0;0;0;0;0;35;95;142;8;32;32;70
