time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
17142;-5796;9068;11732;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;287;177;307;499
17143;-5992;9064;11716;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;290;182;312;370
17144;-5768;8984;11744;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;292;187;317;259
17145;-5780;8932;11712;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;293;186;316;169
17146;-6012;8884;11712;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;291;186;307;108
17147;-5992;8864;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;278;155;251;69
17148;-5976;8872;11716;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;17;24;37;53
17149;-5964;8912;11684;10;10;10;0;0;0;0;0;2064;0;8;0;0;0;0;95;142;14;17;24;49
17150;-5944;8928;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;15;12;13;52
17151;-5904;8868;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;11;8;9;56
17152;-5992;8940;11692;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;4;60
17153;-5616;8916;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;4;63
17154;-5912;8932;11700;10;10;10;0;0;0;0;0;2068;0;8;0;0;0;0;95;142;11;5;4;57
17155;-5948;8896;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;11;5;4;48
17156;-5936;8916;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;1;95;142;12;5;4;40
17157;-5932;8904;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;1;95;142;11;5;4;34
17158;-5964;8924;11688;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;11;4;4;28
17159;-5604;8884;11716;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;11;3;3;22
17160;-5972;8908;11692;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;11;3;3;19
17161;-5908;8936;11700;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;2;3;19
17162;-5912;8916;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;3;21
17163;-5936;8892;11704;10;10;10;0;0;0;0;0;2064;0;0;0;2;0;0;95;142;7;1;3;21
17164;-5932;8924;11696;10;10;10;0;0;0;0;0;2064;0;0;0;39;0;0;95;142;6;2;3;22
17165;-5924;8900;11704;10;10;10;0;0;0;0;0;2064;0;0;0;91;0;0;95;142;7;2;3;22
17166;-5952;8912;11708;10;10;10;0;0;0;0;0;2064;0;0;0;96;0;0;95;142;7;2;3;19
17167;-5620;8908;11692;10;10;10;0;0;0;0;0;2064;4;0;0;90;0;0;125;142;7;2;3;17
17168;-5972;8884;11700;10;10;10;0;0;0;0;0;2064;0;0;0;61;0;0;95;142;6;2;3;16
17169;-5940;8936;11692;10;10;10;0;0;0;0;0;2064;0;0;0;26;0;0;95;142;6;1;3;16
17170;-5924;8916;11692;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;1;3;16
17171;-5964;8892;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;1;3;15
17172;-5932;8928;11700;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;1;3;14
17173;-5944;8912;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;1;4;15
17174;-5936;8904;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;1;4;14
17175;-5944;8928;11692;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;1;4;14
17176;-5920;8868;11724;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;1;4;13
17177;-5956;8928;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;1;4;13
17178;-5956;8904;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;1;4;14
17179;-5912;8916;11716;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;14
17180;-5932;8900;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;14
17181;-5928;8912;11712;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;13
17182;-5952;8924;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;13
17183;-5940;8924;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;14
17184;-5616;8892;11712;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;13
17185;-5988;8888;11700;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;1;3;12
17186;-5952;8912;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;11
17187;-5924;8916;11696;10;10;10;0;0;0;0;0;2064;0;0;0;1;0;0;95;142;6;2;3;11
17188;-5928;8896;11708;10;10;10;0;0;0;0;0;2064;0;0;0;3;0;0;95;142;6;1;3;11
17189;-5936;8928;11696;10;10;10;0;0;0;0;0;2064;0;0;0;1;0;0;95;142;6;2;3;11
17190;-5944;8924;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;11
17191;-5944;8908;11712;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;11
17192;-5620;8904;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;10
17193;-5980;8868;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;9
17194;-5928;8896;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;10
17195;-5948;8896;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;10
17196;-5940;8916;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;11
17197;-5956;8912;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;13
17198;-5936;8936;11692;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;14
17199;-5972;8876;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;14
17200;-5988;9244;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;25
17201;-5896;8928;11716;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;3;32
17202;-6016;9000;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;3;3;48
17203;-5968;8844;11772;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;6;104
17204;-5988;9012;11712;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;29;28;36;425
17205;-5836;9068;11736;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;45;82;80;512
17206;-5980;9028;12032;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;120;156;139;749
17207;-5764;9048;11756;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;127;160;149;1033
17208;-5996;9064;11760;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;143;174;169;1098
17209;-5968;9024;11764;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;219;314;434;878
17210;-5972;9084;11760;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;221;323;456;632
17211;-6016;9012;11748;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;220;322;454;434
17212;-5764;8880;11732;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;201;299;427;281
17213;-5776;9028;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;184;246;383;176
17214;-5972;8836;11716;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;109;172;324;110
17215;-5996;8956;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;101;167;314;79
17216;-5788;8856;11684;10;10;10;0;0;0;0;0;2064;0;8;0;0;0;0;95;142;85;153;294;62
17217;-5948;8868;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;14;30;62
17218;-5996;8860;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;7;8;69
17219;-5996;8896;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;8;8;71
17220;-5988;8888;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;7;95;142;12;11;5;68
17221;-5968;8872;11704;10;10;10;0;0;0;0;0;2068;0;8;0;0;0;14;95;142;13;11;5;59
17222;-5976;8876;11688;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;54;95;142;13;11;5;58
17223;-5952;8912;11712;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;65;95;142;15;12;5;59
17224;-5968;8912;11712;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;67;95;142;15;12;5;57
17225;-5632;8856;11720;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;3;95;142;16;13;5;51
17226;-5912;8920;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;3;0;95;142;14;10;5;48
17227;-5912;8888;11736;10;10;10;0;0;0;0;0;2064;0;0;0;0;12;0;95;142;14;9;4;47
17228;-5904;8928;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;4;0;95;142;10;4;3;49
17229;-5920;8888;11720;10;10;10;0;0;0;0;0;2064;0;0;0;0;4;0;95;142;9;5;3;54
17230;-5904;8868;11724;10;10;10;0;0;0;0;0;2064;0;0;0;2;5;0;95;142;11;5;4;53
17231;-5920;8932;11716;10;10;10;0;0;0;0;0;2064;0;0;0;29;6;0;95;142;10;5;4;48
17232;-5944;8904;11716;10;10;10;0;0;0;0;0;2064;0;0;0;91;0;0;95;142;10;5;4;40
17233;-5592;8904;11720;10;10;10;0;0;0;0;0;2064;0;0;0;92;0;0;95;142;9;4;3;31
17234;-5920;8944;11700;10;10;10;0;0;0;0;0;2064;4;0;0;66;1;0;125;142;9;3;3;28
