time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
12642;-5844;8932;11872;10;9;10;0;0;0;0;0;2048;0;0;0;0;32;0;95;142;25;13;10;111
12643;-5864;8932;11888;10;9;10;0;0;0;0;0;2048;0;0;0;0;34;0;95;142;28;20;11;105
12644;-5780;8944;11856;10;9;10;0;0;0;0;0;2048;0;0;0;0;30;0;95;142;23;19;11;98
12645;-5868;8860;11892;10;9;10;0;0;0;0;0;2048;0;0;0;8;17;0;95;142;22;18;11;93
12646;-5824;9224;11868;10;9;10;0;0;0;0;0;2048;0;0;0;61;0;0;95;142;22;18;10;84
12647;-5844;8932;11872;10;9;10;0;0;0;0;0;2048;4;0;0;20;7;0;125;142;19;17;8;80
12648;-5832;8908;11876;10;9;10;0;0;0;0;0;2048;0;0;0;11;6;0;95;142;20;17;8;74
12649;-5836;8928;11872;10;9;10;0;0;0;0;0;2048;0;0;0;6;4;0;95;142;19;15;8;68
12650;-5840;8928;11880;10;9;10;0;0;0;0;0;2048;0;0;0;1;5;0;95;142;18;15;7;71
12651;-5880;8924;11868;10;9;10;0;0;0;0;0;2048;0;0;0;0;4;0;95;142;15;9;6;76
12652;-5816;8924;11868;10;9;10;0;0;0;0;0;2048;0;0;0;0;3;0;95;142;18;8;4;70
12653;-5848;8892;11888;10;9;10;0;0;0;0;0;2048;0;0;0;1;3;0;95;142;20;8;4;62
12654;-5852;8952;11868;10;9;10;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;19;7;4;59
12655;-5856;8900;11872;10;9;10;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;21;6;4;60
12656;-5828;8924;11884;10;9;9;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;18;6;4;60
12657;-5836;8904;11888;0;9;9;0;0;0;0;0;2048;0;0;0;5;0;0;95;142;17;6;4;58
