time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
16242;-5900;9264;11876;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;3;10
16243;-5964;9248;11888;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;3;11
16244;-5916;9240;11884;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;13
16245;-5940;9232;11888;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;13
16246;-5920;9260;11884;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;12
16247;-5952;9260;11888;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;14
16248;-5976;9268;11880;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;21
16249;-6004;8908;11888;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;3;25
16250;-5952;9296;11848;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;3;26
16251;-5988;9308;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;2;3;50
16252;-5984;8856;11868;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;7;100
16253;-5988;9224;11648;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;19;8;20;1003
16254;-5952;8856;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;28;28;109;3957
16255;-5812;9096;11812;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;32;251;313;4012
16256;-5844;9072;11648;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;88;295;337;3332
16257;-5812;8892;11892;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;126;375;346;2371
16258;-6012;8928;11884;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;130;378;351;1558
16259;-5776;8928;11876;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;131;381;352;969
16260;-5808;9220;11864;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;130;379;348;582
16261;-5992;9244;11900;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;120;375;334;343
16262;-6012;8928;11868;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;1;95;142;111;354;246;204
16263;-5984;9248;11896;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;1;95;142;107;132;41;124
16264;-5772;9256;11864;10;10;10;0;0;0;0;0;2064;0;8;0;0;0;2;95;142;51;88;17;79
16265;-5776;9228;11872;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;1;95;142;13;8;9;58
16266;-5936;9264;11880;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;5;4;50
16267;-5976;8952;11892;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;1;95;142;9;2;3;45
16268;-5932;9256;11876;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;14;95;142;9;2;3;44
16269;-5948;9252;11888;10;10;10;0;0;0;0;0;2068;0;8;0;0;0;13;95;142;9;2;3;45
16270;-5932;9232;11880;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;51;95;142;10;3;3;45
16271;-5956;9272;11888;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;86;95;142;10;3;3;44
16272;-5988;9272;11872;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;92;95;142;10;3;3;45
16273;-5988;9244;11876;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;94;95;142;10;3;3;43
16274;-5900;9264;11892;10;10;10;0;0;0;0;0;2064;0;0;0;0;1;91;95;142;10;3;3;46
16275;-5936;9240;11648;10;10;10;0;0;0;0;0;2064;0;0;0;0;11;0;95;142;11;4;3;43
16276;-5932;9248;11884;10;10;10;0;0;0;0;0;2064;0;0;0;0;36;0;95;142;12;4;4;37
16277;-5928;9248;11888;10;10;10;0;0;0;0;0;2064;0;0;0;0;39;0;95;142;12;4;4;31
16278;-5924;9236;11884;10;10;10;0;0;0;0;0;2064;0;0;0;0;43;0;95;142;12;4;4;31
16279;-5928;9264;11652;10;10;10;0;0;0;0;0;2064;0;0;0;4;45;0;95;142;11;4;4;32
16280;-5964;9276;11892;10;10;10;0;0;0;0;0;2064;1;0;0;11;58;0;95;142;12;4;4;36
16281;-5960;9240;11652;10;10;10;0;0;0;0;0;2064;0;0;0;89;0;0;95;142;13;4;4;33
16282;-5900;9240;11900;10;10;10;0;0;0;0;0;2064;4;0;0;62;17;0;125;142;11;4;4;29
16283;-5936;9240;11656;10;10;10;0;0;0;0;0;2064;0;0;0;12;54;0;95;142;10;3;4;24
16284;-5908;9232;11648;10;10;10;0;0;0;0;0;2064;0;0;0;0;63;0;95;142;7;3;4;30
16285;-5916;9240;11652;10;10;10;0;0;0;0;0;2064;0;0;0;0;16;0;95;142;8;3;3;30
16286;-5908;9232;11652;10;10;10;0;0;0;0;0;2064;0;0;0;0;3;0;95;142;8;3;4;26
16287;-5916;9268;11656;10;10;10;0;0;0;0;0;2064;0;0;0;0;2;0;95;142;9;2;4;23
16288;-5948;9240;11648;10;10;10;0;0;0;0;0;2064;0;0;0;0;1;0;95;142;8;2;4;21
16289;-5960;9224;11656;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;18
16290;-5904;9244;11900;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;3;18
16291;-5904;9248;11660;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;17
16292;-5928;9224;11892;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;17
16293;-5920;9236;11656;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;15
16294;-5908;9248;11900;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;14
16295;-5920;9236;11648;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;14
16296;-5932;9244;11652;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;15
16297;-5920;8952;11656;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;15
16298;-5944;9260;11896;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;15
16299;-5904;9252;11892;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;15
16300;-5956;9240;11888;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;5;2;3;15
16301;-5944;9252;11888;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;5;2;4;14
16302;-5924;9248;11888;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;13
16303;-5912;9240;11892;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;12
16304;-5952;9268;11892;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;12
16305;-5632;9236;11652;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;12
16306;-5976;9228;11884;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;15
16307;-5908;9256;11900;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;18
16308;-5940;9236;11656;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;20
16309;-5928;9228;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;21
16310;-5948;9244;11652;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;3;4;23
16311;-5952;8924;11648;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;3;3;38
16312;-5976;8952;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;4;5;60
16313;-5952;8952;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;11;15;15;222
16314;-5944;8924;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;29;106;79;284
16315;-5992;8948;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;32;108;91;279
16316;-5920;8892;11688;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;36;110;99;310
16317;-5768;8932;11884;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;51;214;117;603
