time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
14142;-5992;8952;11648;10;10;10;0;0;0;0;0;2064;0;0;0;7;0;0;95;142;9;2;4;18
14143;-5976;8944;11652;10;10;10;0;0;0;0;0;2064;0;0;0;19;0;0;95;142;9;2;4;16
14144;-6004;9224;11648;10;10;10;0;0;0;0;0;2064;0;0;0;9;0;0;95;142;9;2;4;16
14145;-6008;9216;11648;10;10;10;0;0;0;0;0;2064;0;0;0;6;0;0;95;142;9;2;4;15
14146;-6012;8932;11656;10;10;10;0;0;0;0;0;2064;0;0;0;1;0;0;95;142;9;2;4;16
14147;-5940;9228;11656;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;21
14148;-5988;8924;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;29
14149;-5956;8952;11652;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;49
14150;-5960;8944;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;68
14151;-5948;8928;11676;10;10;10;0;0;0;0;0;2064;0;0;0;1;0;0;95;142;9;4;4;75
14152;-5960;8948;11672;10;10;10;0;0;0;0;0;2064;0;0;0;3;0;0;95;142;10;5;4;63
14153;-5992;8936;11676;10;10;10;0;0;0;0;0;2064;0;0;0;3;0;0;95;142;10;5;4;50
14154;-5988;8912;11688;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;6;4;39
14155;-5996;9276;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;6;4;37
14156;-5972;8924;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;11;6;4;47
14157;-5792;8840;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;12;8;5;75
14158;-5788;8888;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;13;29;74;154
14159;-5800;8876;11720;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;28;190;169;1029
14160;-5832;9024;11896;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;1767;4148;707;1150
14161;-5812;8936;11708;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;1908;4317;766;1062
14162;-5776;9016;11720;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;1919;4372;869;955
14163;-5872;8888;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;1953;4512;988;763
14164;-5848;8976;11720;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;1966;4521;998;574
14165;-5868;9084;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;1974;4528;1008;406
14166;-5780;9040;11688;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;1973;4508;940;265
14167;-5848;8832;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;1955;4346;845;168
14168;-5812;8908;11716;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;2;95;142;215;387;307;121
14169;-5996;8852;11684;10;10;10;0;0;0;0;0;2064;0;8;0;0;0;1;95;142;75;218;248;98
14170;-5804;8864;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;65;164;144;92
14171;-6008;8932;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;32;25;26;88
14172;-6008;8912;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;20;17;17;104
14173;-5768;8912;11652;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;14;95;142;22;20;7;112
14174;-5996;8912;11664;10;10;10;0;0;0;0;0;2068;0;8;0;0;0;25;95;142;28;21;7;117
14175;-6004;8936;11656;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;30;95;142;32;23;8;118
14176;-5960;8940;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;61;95;142;33;24;8;122
14177;-6000;8912;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;86;95;142;34;26;11;119
14178;-5952;8876;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;91;95;142;34;27;11;121
14179;-5992;9244;11648;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;76;95;142;45;29;16;124
14180;-5932;8916;11696;10;10;10;0;0;0;0;0;2064;0;0;0;0;1;7;95;142;50;35;21;130
14181;-5972;9244;11648;10;10;10;0;0;0;0;0;2064;0;0;0;0;16;0;95;142;42;27;22;109
14182;-5964;8932;11676;10;10;10;0;0;0;0;0;2064;0;0;0;0;9;0;95;142;35;25;21;82
14183;-5972;8876;11688;10;10;10;0;0;0;0;0;2064;0;0;0;0;15;0;95;142;32;23;21;60
14184;-5952;8916;11692;10;10;10;0;0;0;0;0;2064;0;0;0;10;18;0;95;142;32;22;20;44
14185;-5980;8940;11696;10;10;10;0;0;0;0;0;2064;0;0;0;73;1;0;95;142;31;19;18;34
14186;-5992;8860;11692;10;10;10;0;0;0;0;0;2064;0;0;0;98;0;0;95;142;29;18;17;26
14187;-5780;8868;11688;10;10;10;0;0;0;0;0;2064;4;0;0;97;0;0;125;142;17;13;12;22
14188;-5936;8928;11696;10;10;10;0;0;0;0;0;2064;0;0;0;78;6;0;95;142;10;6;6;19
14189;-6008;8876;11680;10;10;10;0;0;0;0;0;2064;0;0;0;58;15;0;95;142;7;2;4;17
14190;-5976;8848;11704;10;10;10;0;0;0;0;0;2064;0;0;0;23;15;0;95;142;7;1;4;28
14191;-5976;9228;11660;10;10;10;0;0;0;0;0;2064;0;0;0;0;4;0;95;142;7;2;4;31
14192;-5968;8884;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;1;0;95;142;7;2;4;38
14193;-6004;8928;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;1;0;95;142;6;2;4;40
14194;-6008;8892;11688;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;3;4;44
14195;-5976;8944;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;4;4;49
14196;-5976;8932;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;4;4;66
14197;-6016;8904;11660;10;10;10;0;0;0;0;0;2064;0;0;0;14;0;0;95;142;10;5;5;80
14198;-6004;8920;11664;10;10;10;0;0;0;0;0;2064;0;0;0;10;0;0;95;142;13;6;6;85
14199;-5976;8896;11676;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;14;7;6;80
14200;-5984;8940;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;15;7;6;64
14201;-6016;8936;11656;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;16;7;6;50
14202;-5784;8940;11660;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;15;7;6;38
14203;-5928;8936;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;16;6;6;28
14204;-6004;8944;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;14;6;6;22
14205;-5968;8928;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;12;4;5;18
14206;-5960;8936;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;3;4;17
14207;-5964;9216;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;17
14208;-6004;8932;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;16
14209;-5916;8940;11656;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;14
14210;-5960;8940;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;16
14211;-5960;9244;11688;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;25
14212;-5980;9016;11676;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;51
14213;-5976;9240;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;121
14214;-5952;8896;11660;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;7;183
14215;-5768;8924;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;40;63;80;218
14216;-5804;8956;11892;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;50;96;114;203
14217;-5944;9064;11704;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;51;100;123;164
14218;-5996;8892;11652;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;52;101;124;120
14219;-5768;8908;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;51;102;124;81
14220;-6000;8920;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;51;101;124;54
14221;-5992;8920;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;51;101;124;38
14222;-5968;8908;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;50;100;120;35
14223;-5992;8936;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;19;40;48;38
14224;-5928;9232;11652;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;7;13;50
14225;-5996;8904;11680;10;10;10;0;0;0;0;0;2064;0;8;0;0;0;0;95;142;9;4;5;68
14226;-5936;8928;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;12;3;4;79
14227;-5972;8952;11896;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;13;3;4;80
14228;-5948;8944;11676;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;15;5;4;81
14229;-5960;8956;11660;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;16;7;5;75
14230;-5952;9228;11668;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;17;7;5;80
14231;-6000;8948;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;18;10;6;71
14232;-5620;8920;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;16;10;6;70
14233;-6016;8936;11660;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;19;10;6;64
14234;-5968;8940;11676;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;15;10;6;56
14235;-5948;8924;11664;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;15;9;6;49
14236;-5960;8932;11676;10;10;10;0;0;0;0;0;2064;0;0;0;2;0;0;95;142;13;8;5;42
14237;-5952;8928;11672;10;10;10;0;0;0;0;0;2064;0;0;0;28;0;0;95;142;12;6;4;33
14238;-5968;9220;11672;10;10;10;0;0;0;0;0;2064;0;0;0;49;0;0;95;142;11;6;4;26
14239;-5972;8936;11672;10;10;10;0;0;0;0;0;2064;0;0;0;63;0;0;95;142;10;3;4;20
14240;-5896;8916;11668;10;10;10;0;0;0;0;0;2064;0;0;0;70;0;0;95;142;10;3;4;17
14241;-5988;8932;11672;10;10;10;0;0;0;0;0;2064;0;0;0;85;0;0;95;142;7;2;4;14
14242;-5936;8940;11680;10;9;10;0;0;0;0;0;2064;4;0;0;82;0;0;125;142;7;2;3;13
14243;-5964;8932;11664;10;9;10;0;0;0;0;0;2064;0;0;0;72;0;0;95;142;7;2;3;13
14244;-5952;8932;11680;10;9;10;0;0;0;0;0;2064;0;0;0;39;0;0;95;142;7;2;3;13
14245;-5964;8944;11660;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;13
14246;-5968;8956;11668;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;14
14247;-5972;8944;11664;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;1;4;15
14248;-5912;8932;11664;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;5;1;4;17
14249;-6004;8928;11660;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;5;1;3;20
14250;-5944;8948;11664;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;5;2;3;20
14251;-6000;8940;11896;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;5;2;3;20
14252;-5968;8944;11664;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;5;2;3;20
14253;-5992;8956;11648;10;9;10;0;0;0;0;0;2064;0;0;0;2;0;0;95;142;7;2;3;21
14254;-5972;8944;11896;10;9;10;0;0;0;0;0;2064;0;0;0;5;0;0;95;142;7;2;3;21
14255;-6000;8956;11652;10;9;10;0;0;0;0;0;2064;0;0;0;3;0;0;95;142;7;2;3;21
14256;-5980;9220;11892;10;9;10;0;0;0;0;0;2064;0;0;0;1;0;0;95;142;8;2;3;21
14257;-5980;8924;11656;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;20
14258;-5968;8956;11892;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;3;19
14259;-5988;8948;11900;10;9;10;0;0;0;0;0;2064;0;0;0;1;0;0;95;142;7;2;3;16
14260;-5972;9216;11900;10;9;10;0;0;0;0;0;2064;0;0;0;3;0;0;95;142;6;2;3;14
14261;-5984;8948;11648;10;9;10;0;0;0;0;0;2064;0;0;0;8;0;0;95;142;5;2;2;13
14262;-5952;8948;11656;10;9;10;0;0;0;0;0;2064;0;0;0;14;0;0;95;142;6;2;2;18
14263;-5964;9228;11656;10;9;10;0;0;0;0;0;2064;0;0;0;11;0;0;95;142;5;2;2;30
14264;-6008;8952;11652;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;3;3;36
14265;-5896;8936;11664;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;3;42
14266;-5952;9224;11656;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;4;3;43
14267;-5976;8944;11664;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;12;4;4;36
14268;-5968;8936;11896;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;12;4;4;29
14269;-5976;8936;11664;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;12;4;4;24
14270;-5980;8952;11648;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;12;4;4;21
14271;-5976;8948;11900;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;12;4;4;18
14272;-5996;8940;11656;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;4;17
14273;-5980;9292;11900;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;3;4;18
14274;-5808;8956;11660;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;27
14275;-5776;8884;11896;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;3;4;57
14276;-5800;8896;11668;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;4;7;122
14277;-5792;8912;11652;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;17;69;250
14278;-5816;8872;11880;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;17;70;147;601
14279;-5860;8840;11680;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;104;832;388;860
14280;-5824;8884;11680;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;135;877;402;805
14281;-5852;9056;11728;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;143;892;415;656
14282;-6184;9032;11688;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;156;916;438;556
14283;-5844;8832;11692;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;186;949;462;470
14284;-5880;9032;11672;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;189;951;482;392
14285;-6168;8832;11692;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;189;941;431;302
14286;-5840;8852;11672;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;180;889;354;207
14287;-5840;8892;11688;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;93;127;113;141
14288;-5824;9080;11684;10;9;10;0;0;0;0;0;2064;0;8;0;0;0;0;95;142;63;82;99;100
14289;-5812;8904;11648;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;55;68;86;73
14290;-5808;8892;11660;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;42;44;64;61
14291;-5996;8912;11660;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;14;10;39;60
14292;-5764;8884;11688;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;12;7;17;59
14293;-6012;8908;11672;10;9;10;0;0;0;0;0;2068;0;8;0;0;0;0;95;142;13;5;6;60
14294;-5764;8912;11660;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;3;95;142;14;5;4;61
14295;-5984;8916;11656;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;28;95;142;15;5;4;62
14296;-5964;8948;11676;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;59;95;142;16;7;4;59
14297;-5764;8940;11660;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;24;95;142;16;6;4;57
14298;-5984;9224;11676;10;9;10;0;0;0;0;0;2064;0;0;0;0;0;1;95;142;16;6;4;66
14299;-5932;8928;11668;10;9;10;0;0;0;0;0;2064;0;0;0;0;1;0;95;142;17;7;4;77
14300;-5960;8920;11688;10;9;10;0;0;0;0;0;2064;0;0;0;0;4;0;95;142;21;9;4;81
14301;-5932;8944;11684;10;9;10;0;0;0;0;0;2064;0;0;0;0;1;0;95;142;22;9;5;84
14302;-5948;8924;11684;10;9;10;0;0;0;0;0;2064;0;0;0;0;1;0;95;142;25;10;6;77
14303;-5916;8932;11692;10;9;10;0;0;0;0;0;2064;0;0;0;6;1;0;95;142;23;10;6;70
14304;-5956;8952;11672;10;9;10;0;0;0;0;0;2064;0;0;0;27;0;0;95;142;23;9;6;60
14305;-5988;8920;11684;10;9;10;0;0;0;0;0;2064;0;0;0;81;0;0;95;142;23;9;6;52
14306;-5984;8912;11680;10;9;10;0;0;0;0;0;2064;0;0;0;86;0;0;95;142;24;9;6;51
14307;-5920;8944;11684;10;10;10;0;0;0;0;0;2064;4;0;0;61;0;0;125;142;25;9;6;61
14308;-5968;8916;11692;10;10;10;0;0;0;0;0;2064;0;0;0;34;0;0;95;142;23;7;5;63
14309;-5932;8936;11680;10;10;10;0;0;0;0;0;2064;0;0;0;7;1;0;95;142;20;7;5;54
14310;-5960;8956;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;16;5;4;47
14311;-5964;8920;11676;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;15;4;4;46
14312;-5940;8928;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;14;4;4;53
14313;-5992;8916;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;15;5;4;52
14314;-5964;8892;11700;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;13;5;4;45
14315;-5980;8948;11672;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;4;4;42
14316;-5944;8908;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;4;4;41
14317;-5980;8896;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;4;4;43
14318;-5968;8904;11692;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;4;4;40
14319;-5972;8920;11688;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;4;4;40
14320;-5952;8900;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;3;38
14321;-5984;8924;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;3;3;35
14322;-5912;8892;11692;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;3;3;34
14323;-5772;8908;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;3;3;31
14324;-5924;8928;11680;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;3;33
14325;-5988;8932;11684;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;31
14326;-5976;8884;11692;10;10;10;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;28
