time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
11740;-9992;896;13120;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5;2;4;26
11741;-9676;1144;13136;10;0;10;0;0;0;0;0;20;0;8;0;0;0;1;95;142;4;2;3;23
11742;-9676;1148;13120;10;0;10;0;0;0;0;0;16;0;0;0;0;0;2;95;142;4;2;3;69
11743;-9724;900;13116;10;0;10;0;0;0;0;0;16;0;0;0;0;0;53;95;142;2;1;3;67
11744;-9668;916;13140;10;0;10;0;0;0;0;0;16;0;0;0;0;0;87;95;142;2;1;3;54
11745;-9720;916;13128;10;0;10;0;0;0;0;0;16;0;0;0;0;0;92;95;142;2;1;3;46
11746;-9720;1060;13084;10;0;10;0;0;0;0;0;16;0;0;0;0;1;65;95;142;2;1;3;42
11747;-9656;896;13140;10;0;10;0;0;0;0;0;16;0;0;0;0;3;0;95;142;2;1;3;38
11748;-10000;1320;13120;10;0;10;0;0;0;0;0;16;0;0;0;0;21;0;95;142;2;1;3;33
11749;-9684;940;13136;10;0;10;0;0;0;0;0;16;0;0;0;0;6;0;95;142;2;1;3;49
11750;-9676;1148;13128;10;0;10;0;0;0;0;0;16;0;0;0;0;14;0;95;142;3;2;3;62
11751;-10008;1008;13112;10;0;10;0;0;0;0;0;16;0;0;0;19;19;0;95;142;3;2;3;55
11752;-9652;1132;13136;10;0;10;0;0;0;0;0;16;0;0;0;94;0;0;95;142;3;1;3;57
11753;-9728;1100;13108;10;0;10;0;0;0;0;0;16;0;0;0;99;0;0;95;142;3;3;5;49
11754;-9712;1136;13124;10;0;10;0;0;0;0;0;16;4;0;0;88;0;0;125;142;3;3;5;40
11755;-9708;1128;13120;10;0;10;0;0;0;0;0;16;0;0;0;30;23;0;95;142;3;3;5;35
11756;-9680;940;13132;10;0;10;0;0;0;0;0;16;0;0;0;5;27;0;95;142;4;3;5;29
11757;-9716;924;13112;10;0;10;0;0;0;0;0;16;0;0;0;0;18;0;95;142;4;3;5;33
11758;-9724;1128;13112;10;0;10;0;0;0;0;0;16;0;0;0;0;3;0;95;142;3;3;10;31
11759;-9684;916;13120;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;3;10;28
11760;-9704;944;13124;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;3;10;25
11761;-9728;908;13104;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;8;23
11762;-9716;928;13120;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;8;23
11763;-9696;896;13128;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;8;21
11764;-9720;916;13116;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1;1;8;20
11765;-9696;1132;13116;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1;1;8;21
11766;-9720;1136;13116;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1;1;2;20
11767;-9688;1136;13124;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1;1;3;20
11768;-9724;928;13120;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;20
11769;-9688;900;13128;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;20
11770;-9708;916;13120;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;20
11771;-9708;920;13128;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;19
11772;-9680;1116;13124;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;19
11773;-9728;920;13116;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;19
11774;-9692;1148;13120;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1;1;3;19
11775;-9988;904;13104;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1;0;3;18
