time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
12340;-9720;956;13088;12;12;10;0;0;0;0;0;16;0;0;0;0;0;5;95;142;2339;3473;1928;524
12341;-10028;1000;13072;12;12;10;0;0;0;0;0;16;0;0;0;0;0;21;95;142;157;125;148;485
12342;-10028;956;13068;12;12;10;0;0;0;0;0;16;0;0;0;0;0;45;95;142;166;152;237;397
12343;-10048;972;13060;12;12;10;0;0;0;0;0;20;0;8;0;0;0;49;95;142;169;170;241;316
12344;-9728;956;13084;12;12;10;0;0;0;0;0;16;0;0;0;0;0;53;95;142;178;179;245;236
12345;-10036;968;13068;12;12;10;0;0;0;0;0;16;0;0;0;0;0;37;95;142;183;180;246;171
12346;-9728;972;13080;12;12;10;0;0;0;0;0;16;0;0;0;0;0;24;95;142;160;163;241;119
12347;-10024;956;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;2;16;95;142;142;127;213;84
12348;-9680;984;13116;12;12;10;0;0;0;0;0;16;0;8;0;0;24;0;95;142;120;112;149;60
12349;-10048;928;12796;12;12;10;0;0;0;0;0;16;0;0;0;0;38;0;95;142;40;66;108;44
12350;-9728;964;13096;12;12;10;0;0;0;0;0;16;1;0;0;0;62;0;95;142;21;35;16;33
12351;-9728;956;13080;12;12;10;0;0;0;0;0;16;0;0;0;0;79;0;95;142;17;11;7;26
12352;-10020;956;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;86;0;95;142;8;2;3;22
12353;-10012;960;13068;12;12;10;0;0;0;0;0;20;0;8;0;0;83;0;95;142;3;1;2;22
12354;-10012;972;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;81;0;95;142;2;0;2;21
12355;-10008;944;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;63;0;95;142;2;0;2;20
12356;-10016;976;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;26;0;95;142;2;1;2;21
12357;-10004;944;13084;12;12;10;0;0;0;0;0;16;0;0;0;0;12;0;95;142;2;1;2;21
12358;-9988;960;13084;12;12;10;0;0;0;0;0;16;0;0;0;0;10;0;95;142;3;1;2;19
12359;-9988;928;13088;12;12;10;0;0;0;0;0;16;0;0;0;0;5;0;95;142;2;1;3;18
12360;-10028;988;13068;12;12;10;0;0;0;0;0;16;0;0;0;1;6;0;95;142;2;1;3;19
12361;-9988;976;13084;12;12;10;0;0;0;0;0;16;0;0;0;23;7;0;95;142;2;1;3;20
12362;-10024;940;13068;12;12;10;0;0;0;0;0;16;0;0;0;67;8;0;95;142;2;1;3;20
12363;-10028;984;13068;12;12;10;0;0;0;0;0;16;0;0;0;69;2;0;95;142;2;1;3;20
12364;-9988;952;13084;12;12;10;0;0;0;0;0;16;0;0;0;71;0;0;95;142;2;1;3;19
12365;-10020;952;13064;12;12;10;0;0;0;0;0;16;4;0;0;24;0;0;125;142;2;1;3;21
12366;-10012;984;13084;12;12;10;0;0;0;0;0;16;0;0;0;3;0;0;95;142;2;1;3;20
12367;-9996;960;13080;12;12;10;0;0;0;0;0;16;0;0;0;1;0;0;95;142;2;1;3;18
12368;-10032;984;13068;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;18
12369;-9728;920;13088;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;3;18
12370;-10024;984;13068;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;18
12371;-10016;936;13072;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;19
12372;-10004;956;13080;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;20
12373;-10020;988;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;22
12374;-9988;948;13084;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;22
12375;-10004;964;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;22
12376;-10004;956;13072;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;22
12377;-10016;964;13072;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;22
12378;-10000;984;13084;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;2;23
12379;-10012;900;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;2;22
12380;-10028;1012;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;2;20
12381;-10000;936;13072;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;2;20
12382;-10004;936;13080;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;2;21
12383;-10024;1008;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;2;36
12384;-10048;1028;12788;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;2;3;935
12385;-9720;996;13068;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;72;125;285;1334
12386;-10016;1340;13056;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5083;1753;681;1197
12387;-10028;964;13064;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5099;1770;731;871
12388;-10064;948;12780;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5100;1771;731;586
12389;-9720;944;13104;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5100;1771;731;379
12390;-10032;960;13064;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5101;1772;732;250
12391;-10000;1008;13080;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5101;1772;732;182
12392;-10012;960;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5102;1773;732;138
12393;-10024;984;13068;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5032;1651;450;99
12394;-10000;980;13072;12;12;10;0;0;0;0;0;16;0;8;0;0;0;0;95;142;21;23;54;71
12395;-10024;976;13064;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5;5;4;50
12396;-10000;988;13076;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5;5;4;36
12397;-10020;996;13072;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5;5;4;28
12398;-9996;944;13080;12;12;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5;4;4;23
