time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
11440;-9992;1092;13148;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;24685;10773;9408;2004
11441;-9692;1120;13148;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;24735;10797;9430;1483
11442;-9676;1032;13148;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;24736;10835;9579;990
11443;-9680;900;13148;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;24732;10833;9577;658
11444;-9700;1124;13140;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;24731;10825;9559;489
11445;-9700;1104;13132;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;24108;10202;9075;419
11446;-9688;1100;13136;10;0;10;0;0;0;0;0;16;0;0;0;0;0;1;95;142;22352;8550;2916;355
11447;-9668;1140;13144;10;0;10;0;0;0;0;0;16;0;8;0;0;0;1;95;142;898;325;416;289
11448;-9704;1128;13132;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;120;142;224;220
11449;-9684;900;13148;10;0;10;0;0;0;0;0;16;0;0;0;0;0;1;95;142;71;119;204;156
11450;-9692;1136;13136;10;0;10;0;0;0;0;0;16;0;0;0;0;0;13;95;142;70;81;55;106
11451;-9672;1096;13136;10;0;10;0;0;0;0;0;16;0;0;0;0;0;19;95;142;70;81;55;71
11452;-9672;896;13148;10;0;10;0;0;0;0;0;20;0;8;0;0;0;29;95;142;65;77;52;50
11453;-9668;1124;13152;10;0;10;0;0;0;0;0;16;0;0;0;0;0;58;95;142;46;31;28;38
11454;-9676;1112;13140;10;0;10;0;0;0;0;0;16;0;0;0;0;0;86;95;142;33;20;12;30
11455;-9700;1128;13132;10;0;10;0;0;0;0;0;16;0;0;0;0;0;88;95;142;21;7;6;25
11456;-9680;1132;13140;10;0;10;0;0;0;0;0;16;0;0;0;0;0;91;95;142;2;2;3;22
11457;-9696;1144;13148;10;0;10;0;0;0;0;0;16;0;8;0;0;1;37;95;142;1;1;2;20
11458;-9680;1112;13148;10;0;10;0;0;0;0;0;16;0;0;0;0;21;0;95;142;1;1;2;21
