time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
13540;-10056;1892;12916;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;567;1003;2252;1169
13541;-9996;1748;12724;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;506;901;2031;889
13542;-10016;1904;12920;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;520;907;2056;626
13543;-9716;1744;12676;10;0;10;0;0;0;0;0;20;0;8;0;0;0;0;95;142;522;908;2061;420
13544;-10100;1716;12872;10;0;10;0;0;0;0;0;16;0;0;0;0;6;0;95;142;519;906;2060;272
13545;-10044;2052;12896;10;0;10;0;0;0;0;0;16;0;0;0;0;18;0;95;142;407;818;1845;173
13546;-10032;1928;12924;10;0;10;0;0;0;0;0;16;1;0;0;0;70;0;95;142;268;461;1392;109
13547;-10048;1684;12896;10;0;10;0;0;0;0;0;16;0;0;0;0;93;0;95;142;104;126;835;70
13548;-10076;2080;12908;10;0;10;0;0;0;0;0;16;0;8;0;0;93;0;95;142;35;23;100;48
13549;-9884;1788;12840;10;0;10;0;0;0;0;0;16;0;0;0;0;93;0;95;142;20;10;35;35
13550;-10004;2128;12700;10;0;10;0;0;0;0;0;16;0;0;0;0;94;0;95;142;4;2;7;29
13551;-10064;2132;12908;10;0;10;0;0;0;0;0;16;0;0;0;0;89;0;95;142;2;2;3;25
13552;-9716;2172;12684;10;0;10;0;0;0;0;0;16;0;0;0;0;73;0;95;142;2;1;2;23
13553;-9700;1780;12708;10;0;10;0;0;0;0;0;20;0;8;0;0;79;0;95;142;1;1;2;20
13554;-9920;1872;12828;10;0;10;0;0;0;0;0;16;0;0;0;0;93;0;95;142;1;1;2;18
13555;-9656;2072;12720;10;0;10;0;0;0;0;0;16;0;0;0;0;92;0;95;142;1;1;2;18
13556;-10064;1764;12884;10;0;10;0;0;0;0;0;16;0;0;0;0;96;0;95;142;1;1;2;17
13557;-9864;1768;12876;10;0;10;0;0;0;0;0;16;0;0;0;0;97;0;95;142;1;1;2;18
13558;-10012;1788;12916;10;0;10;0;0;0;0;0;16;0;0;0;0;95;0;95;142;1;1;2;19
13559;-10056;1772;12892;10;0;10;0;0;0;0;0;16;0;0;0;0;94;0;95;142;1;1;2;21
13560;-10076;2052;12900;10;0;10;0;0;0;0;0;16;0;0;0;4;87;0;95;142;2;1;2;22
13561;-10064;1776;12892;10;0;10;0;0;0;0;0;16;0;0;0;17;75;0;95;142;2;1;2;23
13562;-10044;1732;12896;10;0;10;0;0;0;0;0;16;0;0;0;28;66;0;95;142;2;1;2;24
13563;-10072;1784;12884;10;0;10;0;0;0;0;0;16;0;0;0;14;48;0;95;142;2;1;2;23
13564;-10040;1752;12900;10;0;10;0;0;0;0;0;16;0;0;0;3;28;0;95;142;3;1;2;22
13565;-10092;1764;12884;10;0;10;0;0;0;0;0;16;0;0;0;1;8;0;95;142;3;1;2;21
13566;-10080;1756;12888;10;0;10;0;0;0;0;0;16;0;0;0;1;3;0;95;142;3;1;2;21
13567;-10084;1736;12880;10;0;10;0;0;0;0;0;16;0;0;0;1;0;0;95;142;3;1;2;21
13568;-10084;1756;12884;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;1;3;21
13569;-10084;1788;12884;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;3;2;3;20
13570;-10076;1788;12892;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;20
13571;-10096;1772;12880;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;19
13572;-10080;1784;12888;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;19
13573;-10056;1752;12892;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;19
13574;-10096;1764;12872;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;2;20
13575;-10056;1772;12892;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;2;19
13576;-10084;1744;12868;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;2;18
13577;-10088;1744;12888;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;2;18
13578;-10080;1784;12884;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1;1;2;19
13579;-10052;1720;12900;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;2;28
13580;-10112;1916;12864;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;1;3;105
13581;-10084;1732;12900;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2;29;42;184
13582;-10064;2144;12872;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;23;50;75;380
13583;-10092;1720;12880;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;199;171;232;896
13584;-10080;2116;12860;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;957;4020;3645;1903
13585;-9880;2080;12856;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1069;4396;3870;1691
13586;-10088;1684;12872;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1070;4397;3871;1222
13587;-9880;1748;12848;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1070;4397;3872;846
13588;-10056;1700;12880;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1076;4408;3884;701
13589;-9860;2068;12864;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;1090;4463;3999;1031
13590;-9860;1780;12856;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;2356;5238;4322;1588
13591;-10096;1760;12852;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;11997;7465;6092;1366
13592;-9876;1764;12856;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;11241;3627;2713;976
13593;-10056;1780;12880;10;0;10;0;0;0;0;0;16;0;0;0;0;0;1;95;142;11129;3252;2488;642
13594;-9880;2048;12840;10;0;10;0;0;0;0;0;16;0;8;0;0;0;0;95;142;11128;3250;2487;472
13595;-10108;2048;12860;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;11133;3263;2491;410
13596;-10084;2052;12872;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;11159;3300;2569;368
13597;-9868;1752;12856;10;0;10;0;0;0;0;0;16;0;0;0;0;0;1;95;142;11164;3235;2447;313
13598;-10060;1788;12892;10;0;10;0;0;0;0;0;16;0;0;0;0;0;4;95;142;9888;2455;2115;251
13599;-10080;2056;12876;10;0;10;0;0;0;0;0;20;0;8;0;0;0;7;95;142;77;108;190;185
13600;-10092;1776;12868;10;0;10;0;0;0;0;0;16;0;0;0;0;0;35;95;142;76;98;156;133
13601;-10108;1772;12860;10;0;10;0;0;0;0;0;16;0;0;0;0;0;58;95;142;76;98;155;94
13602;-10064;2064;12892;10;0;10;0;0;0;0;0;16;0;0;0;0;0;62;95;142;76;98;155;65
13603;-10076;1740;12876;10;0;10;0;0;0;0;0;16;0;0;0;0;0;74;95;142;71;85;151;49
13604;-10084;2052;12876;10;0;10;0;0;0;0;0;16;0;8;0;0;0;78;95;142;40;37;60;38
13605;-10076;2116;12900;10;0;10;0;0;0;0;0;16;0;0;0;0;2;10;95;142;19;19;28;31
13606;-9664;1676;12672;10;0;10;0;0;0;0;0;16;0;0;0;0;23;0;95;142;9;4;4;192
13607;-10276;1740;12532;10;0;10;0;0;0;0;0;16;0;0;0;0;44;0;95;142;4;2;3;190
13608;-9700;1788;12676;10;0;10;0;0;0;0;0;16;0;0;0;0;45;0;95;142;2;1;3;147
13609;-9880;1744;12852;10;0;10;0;0;0;0;0;16;1;0;0;0;66;0;95;142;2;1;3;104
13610;-9896;1732;12832;10;0;10;0;0;0;0;0;16;0;0;0;0;89;0;95;142;2;1;2;75
13611;-9860;1764;12856;10;0;10;0;0;0;0;0;16;0;0;0;0;91;0;95;142;2;1;3;54
13612;-9860;1704;12840;10;0;10;0;0;0;0;0;16;0;0;0;0;91;0;95;142;2;1;3;40
13613;-9860;1756;12860;10;0;10;0;0;0;0;0;16;0;0;0;0;77;0;95;142;2;1;3;32
13614;-9880;1776;12848;10;0;10;0;0;0;0;0;16;0;0;0;0;73;0;95;142;2;1;3;29
13615;-10112;1708;12856;10;0;10;0;0;0;0;0;16;0;0;0;0;19;0;95;142;2;1;3;27
13616;-9880;1756;12860;10;0;10;0;0;0;0;0;20;0;8;0;0;9;0;95;142;2;1;3;25
13617;-9860;1768;12848;10;0;10;0;0;0;0;0;16;0;0;0;0;6;0;95;142;3;1;3;21
13618;-9872;1756;12856;10;0;10;0;0;0;0;0;16;0;0;0;0;5;0;95;142;3;1;3;20
13619;-10108;1748;12860;10;0;10;0;0;0;0;0;16;0;0;0;0;3;0;95;142;3;2;3;19
13620;-9868;1748;12852;10;0;10;0;0;0;0;0;16;0;0;0;1;4;0;95;142;3;1;3;19
