feature,class_0_mean,class_0_std,class_1_mean,class_1_std,mean_difference,cv_0,cv_1,discriminative_power
accel_x_max_activity,574.7299798792757,905.8810765690324,4188.0,2744.8570090261533,3613.2700201207244,1.5761855275821082,0.6554099830514802,0.9897368519444883
accel_y_max_activity,677.8575452716298,1421.1418422867432,6776.0,5401.170243567592,6098.1424547283705,2.0965199136291988,0.7971030465701919,0.893852755191832
accel_z_movement_ratio,0.4276137839696406,0.07636116698164619,0.4886075949367089,0.006536680753092693,0.060993810967068296,0.17857507886442883,0.013378180542112955,0.7357706535944469
accel_x_mean_activity,118.10669587143113,150.83303262889333,250.63797468354431,37.30223905585292,132.5312788121132,1.277091290237402,0.14882915927429777,0.704446739934807
accel_y_mean_activity,124.05672516109313,160.4718649596369,288.2531645569621,75.68800410941414,164.19643939586894,1.2935362007849371,0.2625747551570473,0.695276636272637
accel_x_movement_ratio,0.4477446960242467,0.05266883371567814,0.4886075949367089,0.006536680753092693,0.0408628989124622,0.11763139353081702,0.013378180542112955,0.6901872634202602
accel_y_movement_ratio,0.45701551078623637,0.04755168808694136,0.4886075949367089,0.008850707579494957,0.031592084150472544,0.10404830016524341,0.018114142084713195,0.5601194448568035
env_trend,-0.025050433873752383,5.998844140892453,4.426452180028127,5.122259131281285,4.451502613901879,239.47057270222604,1.157192919155586,0.40027526954428083
b400_trend,-0.06636321444843281,25.629451142364523,18.16600210970463,22.48806574100183,18.23236532415306,386.19960611286683,1.2379204622358304,0.3789132628052683
b100_trend,-0.2605966837122076,61.94949181415799,35.56798992030002,46.3749835029109,35.82858660401223,237.72171063141917,1.3038404361277809,0.3307524591818552
b1000_regularity,0.8969422984239249,0.12112533944778099,0.9382773407363547,0.013005105712826925,0.04133504231242979,0.13504250865433934,0.013860619893063168,0.30817044692001666
b400_relative_std,1.841564319693504,0.8128884832010134,2.1844612550817937,0.3858644855029839,0.3428969353882896,0.44141193988933547,0.1766405711426226,0.2860446993499898
